fetch_time,vehicle_number,line,brigade,type,lat,lon,vehicle_time
2026-07-22T14:37:24,1000,161,1,1,52.168799,21.200248,2026-07-22T16:37:02
2026-07-22T14:37:24,1001,219,1,1,52.21413,21.145951,2026-07-22T16:37:14
2026-07-22T14:37:24,1002,161,3,1,52.1834275,21.1954388,2026-07-22T16:36:00
2026-07-22T14:37:24,1003,161,5,1,52.161326,21.214748,2026-07-22T16:37:04
2026-07-22T14:37:24,1004,311,1,1,52.2543183,21.07325,2026-07-22T16:37:11
2026-07-22T14:37:24,1005,311,2,1,52.2308311,21.0954158,2026-07-22T16:35:59
2026-07-22T14:37:24,10071,L-8,02,1,52.4094955,21.057522,2026-07-22T16:37:13
2026-07-22T14:37:24,10072,L31,1,1,52.4324095,21.0349225,2026-07-22T16:37:11
2026-07-22T14:37:24,10073,L33,1,1,52.109899,20.9923711,2024-12-02T09:08:44
2026-07-22T14:37:24,10074,L31,1,1,52.4317133,21.1571775,2024-11-30T12:53:15
2026-07-22T14:37:24,10075,L-8,1,1,52.4002531,20.9418133,2026-07-22T16:37:12
2026-07-22T14:37:24,1008,219,2,1,52.183928,21.187578,2026-07-22T16:37:01
2026-07-22T14:37:24,1010,161,2,1,52.185801,21.223858,2026-07-22T16:37:04
2026-07-22T14:37:24,1011,219,3,1,52.22298,21.101723,2026-07-22T16:37:12
2026-07-22T14:37:24,1012,311,3,1,52.230903,21.082343,2026-07-22T16:37:01
2026-07-22T14:37:24,1013,161,4,1,52.18343,21.194851,2026-07-22T16:36:58
2026-07-22T14:37:24,1020,208,04,1,52.215555,20.964053,2026-07-22T16:37:11
2026-07-22T14:37:24,1021,107,4,1,52.245333,20.985926,2026-07-22T16:37:11
2026-07-22T14:37:24,1022,108,2,1,52.211899,21.047134,2026-07-22T16:37:12
2026-07-22T14:37:24,1023,208,05,1,52.199997,20.966984,2026-07-22T16:36:00
2026-07-22T14:37:24,1024,239,1,1,52.133087,21.075132,2026-07-22T16:37:14
2026-07-22T14:37:24,1026,108,1,1,52.215981,21.045683,2026-07-22T16:37:12
2026-07-22T14:37:24,1028,107,7,1,52.218826,21.045858,2026-07-22T16:37:16
2026-07-22T14:37:24,1029,164,06,1,52.188183,20.995335,2026-07-22T09:56:17
2026-07-22T14:37:24,1030,130,1,1,52.193291,21.085096,2026-07-22T16:37:11
2026-07-22T14:37:24,1034,164,04,1,52.170891,21.06266,2026-07-22T16:37:12
2026-07-22T14:37:24,1035,139,1,1,52.110493,21.11216,2026-07-22T16:37:11
2026-07-22T14:37:24,1036,164,05,1,52.179813,21.023424,2026-07-22T16:37:14
2026-07-22T14:37:24,1037,107,3,1,52.236366,21.01325,2026-07-22T16:37:15
2026-07-22T14:37:24,1039,139,2,1,52.128956,21.068636,2026-07-22T16:37:13
2026-07-22T14:37:24,1040,314,1,1,52.3173133,20.9527853,2026-07-22T16:37:13
2026-07-22T14:37:24,1041,314,4,1,52.361854,21.061479,2026-07-22T16:36:55
2026-07-22T14:37:24,1042,262,2,1,52.286533,21.087768,2026-07-22T16:36:57
2026-07-22T14:37:24,1043,262,03,1,52.283678,21.083066,2026-07-22T16:36:58
2026-07-22T14:37:24,1044,314,5,1,52.313903,21.001368,2026-07-22T16:36:57
2026-07-22T14:37:24,1045,314,3,1,52.359471,21.040993,2026-07-22T16:37:06
2026-07-22T14:37:24,1046,262,1,1,52.276631,21.051528,2026-07-22T16:37:09
2026-07-22T14:37:24,1049,314,2,1,52.315263,21.000299,2026-07-22T16:37:00
2026-07-22T14:37:24,1050,107,5,1,52.244508,20.979338,2026-07-22T16:37:09
2026-07-22T14:37:24,1053,208,591,1,52.202598,20.951409,2026-07-22T16:36:57
2026-07-22T14:37:24,1054,201,2,1,52.239518,20.945856,2026-07-22T16:37:13
2026-07-22T14:37:24,1055,201,3,1,52.261058,20.925028,2026-07-22T16:37:01
2026-07-22T14:37:24,1056,107,6,1,52.238241,21.007078,2026-07-22T16:36:54
2026-07-22T14:37:24,1057,208,2,1,52.207841,20.963895,2026-07-22T16:37:12
2026-07-22T14:37:24,1058,201,1,1,52.260489,20.923753,2026-07-22T16:36:56
2026-07-22T14:37:24,1060,209,572,1,52.132821,20.981006,2026-07-22T16:37:05
2026-07-22T14:37:24,1062,107,8,1,52.195201,21.041958,2026-07-22T16:36:55
2026-07-22T14:37:24,1063,164,3,1,52.164749,21.110019,2026-07-22T16:37:08
